Metric,Value
Exact Match Ratio,0.2675
Hamming Loss,0.324375
Jaccard Score,0.5739583333333332
Micro-Precision,0.6822222222222222
Micro-Recall,0.7249114521841794
Micro-F1,0.7029192902117917
Macro-Precision,0.7255019940406201
Macro-Recall,0.7957575757575757
Macro-F1,0.7082100772787385
